WGTP,PWGTP,NOC,PERNP,AGEP,CPLT,COW,QTRBIR,SEX,HHL,TEN,RAC1P,SCHL,JWTRNS,ST,
0,50,-1,5300,18,0,1,1,2,0,0,1,18,10,26,
0,83,-1,0,31,0,1,2,1,0,0,1,16,0,26,
0,12,-1,12400,58,0,4,4,2,0,0,1,16,2,26,
0,95,-1,3650,20,0,4,2,1,0,0,1,19,10,26,
0,18,-1,7200,33,0,4,3,1,0,0,9,14,0,26,
0,23,-1,1800,20,0,4,1,1,0,0,8,18,10,26,
0,24,-1,1100,32,0,1,3,1,0,0,1,14,0,26,
0,13,-1,0,95,0,0,1,1,0,0,1,19,0,26,
0,12,-1,0,31,0,5,1,2,0,0,2,12,0,26,
0,73,-1,36000,32,0,1,3,1,0,0,1,15,0,26,
0,35,-1,0,31,0,0,4,1,0,0,2,19,0,26,
0,20,-1,1200,45,0,4,2,1,0,0,2,17,0,26,
0,28,-1,0,76,0,0,3,1,0,0,1,16,0,26,
0,75,-1,12000,19,0,4,2,1,0,0,1,18,11,26,
0,59,-1,7700,19,0,1,3,1,0,0,1,19,0,26,
0,6,-1,0,55,0,0,4,1,0,0,1,16,0,26,
0,14,-1,9000,27,0,3,4,1,0,0,1,16,0,26,
0,32,-1,0,27,0,1,1,1,0,0,2,17,0,26,
0,4,-1,0,34,0,0,1,1,0,0,1,18,0,26,
0,31,-1,0,43,0,1,4,1,0,0,2,1,0,26,
0,78,-1,7000,18,0,1,2,1,0,0,9,16,10,26,
0,8,-1,0,89,0,0,1,1,0,0,1,15,0,26,
0,59,-1,43300,19,0,1,2,1,0,0,1,19,0,26,
0,55,-1,12500,18,0,1,1,1,0,0,1,16,0,26,
0,76,-1,4900,19,0,1,2,2,0,0,1,16,10,26,
0,12,-1,420,29,0,2,1,2,0,0,6,15,12,26,
0,8,-1,0,35,0,0,4,1,0,0,2,16,0,26,
0,73,-1,13000,21,0,4,3,1,0,0,1,19,10,26,
0,78,-1,0,95,0,0,2,1,0,0,1,18,0,26,
0,16,-1,0,67,0,0,4,2,0,0,9,20,0,26,
