PWGTP,PERNP,AGEP,COW,QTRBIR,SEX,RAC1P,SCHL,JWTRNS
83,0,37,1,3,1,5,17,0
8,0,90,0,4,2,1,12,0
4,0,79,0,4,2,1,1,0
28,0,66,0,2,2,1,16,0
88,20000,34,1,3,1,2,14,0
84,0,19,6,4,1,1,18,0
6,4200,20,4,4,1,2,19,10
20,0,54,0,2,1,1,16,0
76,0,60,0,2,1,1,19,0
29,29600,42,4,3,1,2,17,0
12,0,64,0,1,2,1,16,0
9,0,40,0,4,1,2,1,0
96,0,86,0,1,2,1,16,0
31,0,34,1,4,1,2,14,0
22,3000,19,3,2,1,9,18,0
54,7000,20,2,2,1,1,19,10
14,0,78,0,3,1,2,16,0
33,3900,20,1,1,2,1,16,1
40,0,28,0,2,1,2,1,0
92,0,85,0,4,2,2,16,0
36,0,19,0,3,1,5,18,0
49,560,46,1,4,1,2,20,0
52,7300,20,1,1,2,1,18,10
67,0,36,1,2,1,1,17,0
29,0,89,0,2,1,1,19,0
19,0,62,0,2,2,2,20,0
9,0,55,0,3,1,1,19,0
6,0,64,0,1,1,2,16,0
16,7000,23,1,3,1,9,12,1
15,0,65,0,4,1,1,16,0
106,8000,27,1,1,1,9,12,0
29,15000,21,1,1,2,1,19,10
45,0,64,0,3,1,1,1,0
46,4700,19,1,4,2,1,16,0
4,0,46,0,2,2,6,1,0
69,0,41,0,4,1,2,16,0
64,5000,19,1,3,2,1,19,10
69,7700,19,1,3,1,1,19,0
83,0,32,0,2,1,1,17,0
100,8500,27,1,4,2,1,17,0
83,7700,19,1,3,1,1,19,0
67,0,19,0,2,2,2,19,0
5,0,49,0,3,2,1,21,0
39,0,66,0,4,1,9,16,0
64,12000,18,5,4,1,1,16,10
75,0,59,1,1,1,9,19,0
35,170,53,4,2,1,2,17,0
10,60000,63,6,3,2,1,16,11
75,0,82,0,2,2,1,21,0
35,0,61,0,1,1,2,16,0
48,0,23,0,2,1,2,16,0
19,0,51,0,1,2,1,21,0
12,30000,35,1,3,1,1,20,0
14,0,87,0,3,2,1,11,0
36,0,38,1,3,1,1,16,0
29,0,48,1,2,1,1,20,0
11,0,62,0,4,2,1,21,0
152,2000,22,4,3,2,1,19,10
29,380,50,4,4,1,1,18,0
11,0,23,0,4,1,1,15,0
15,12000,50,2,3,1,1,22,1
7,0,95,0,1,1,1,19,0
102,0,26,0,2,1,2,17,0
21,0,95,0,4,2,1,16,0
103,1800,64,1,4,1,1,16,0
34,24000,21,1,2,1,1,19,0
28,0,24,0,1,1,1,17,0
18,0,52,0,2,1,5,17,0
11,18000,70,1,4,2,1,14,11
85,0,95,0,3,2,1,19,0
59,36000,43,2,4,1,1,21,10
37,0,31,1,2,1,1,16,0
68,6000,20,1,2,1,1,19,11
6,0,52,0,2,2,1,13,0
27,13000,21,4,2,1,2,19,1
56,3200,19,1,3,2,1,19,10
65,7000,19,1,2,2,1,19,0
7,0,76,1,3,1,1,21,0
43,2500,19,1,1,2,1,19,0
25,0,60,0,2,1,2,14,0
122,600,39,4,2,2,2,19,0
4,8500,21,1,2,1,1,19,0
17,3800,37,2,1,2,9,24,11
32,0,71,0,3,1,2,16,0
42,600,19,6,2,1,6,19,0
23,0,89,0,3,2,1,16,0
91,0,77,0,1,2,1,22,0
52,1200,19,1,1,2,1,16,0
25,0,75,0,4,1,1,11,0
50,0,30,1,4,1,2,17,0
8,0,95,0,1,2,1,17,0
31,0,20,0,2,2,1,20,0
40,5000,52,4,3,1,2,17,0
9,0,72,0,3,1,1,20,0
32,0,51,1,2,1,1,19,0
26,0,71,0,4,2,2,14,0
20,0,61,0,1,2,2,21,0
40,0,27,0,1,1,1,14,0
60,0,67,0,1,1,1,17,0
17,0,55,0,4,1,1,16,0
87,0,36,1,2,1,1,17,0
2,24000,35,1,3,1,1,16,0
14,43700,27,4,2,2,9,22,10
55,43300,19,1,2,1,1,19,0
10,0,82,0,1,1,1,19,0
62,8600,18,1,2,2,2,16,1
9,0,95,0,1,2,2,16,0
73,1500,20,1,3,1,1,19,0
65,4900,19,1,2,2,1,16,10
38,5000,20,1,2,1,1,19,0
118,0,80,0,1,1,8,9,0
22,0,75,0,2,1,1,23,0
87,3000,18,1,3,1,1,18,10
82,25000,37,4,1,1,8,19,0
114,7900,19,6,4,2,1,19,1
56,0,16,0,2,1,9,14,0
13,0,78,0,2,2,2,15,0
24,0,23,0,4,1,1,15,0
28,0,55,0,3,1,1,19,0
40,0,56,0,3,1,1,17,0
36,3300,48,4,1,2,8,18,0
7,0,68,0,3,1,1,1,0
17,0,50,0,2,1,2,15,0
109,0,95,0,2,2,1,22,0
17,0,95,0,3,2,1,16,0
110,0,43,0,4,1,1,16,0
21,0,39,0,4,1,1,20,0
53,2500,19,1,3,1,1,16,0
15,0,71,0,1,2,1,16,0
121,0,73,0,1,2,1,16,0
32,0,77,0,1,2,1,22,0
8,0,19,1,3,1,1,16,0
58,0,17,1,4,2,6,16,0
71,1200,19,1,2,2,1,19,0
5,0,33,9,1,2,2,13,0
5,0,23,0,3,1,1,14,0
60,6000,18,1,1,1,1,18,1
95,-10001,0,0,4,1,9,0,0
6,0,53,1,4,2,1,17,0
41,2000,22,1,1,1,2,19,10
20,5000,22,4,1,1,1,19,10
79,0,69,0,3,2,1,19,0
74,2500,19,1,3,1,9,19,0
96,3000,18,1,1,1,1,16,0
8,-10001,6,0,1,1,2,4,0
65,0,70,0,2,1,2,16,0
81,23000,59,5,3,2,1,22,0
10,0,60,0,1,2,1,1,0
84,2200,20,2,3,2,1,19,10
80,8200,21,4,2,2,1,19,10
35,4000,20,1,2,2,4,19,10
14,0,80,0,4,1,1,18,0
9,0,80,0,2,2,9,1,0
64,0,20,0,2,1,1,18,0
97,0,81,0,4,2,1,21,0
74,8200,23,4,4,2,1,16,10
17,0,50,0,2,2,1,13,0
108,0,27,1,4,1,2,16,0
27,0,71,0,1,1,1,19,0
26,0,70,0,2,1,1,19,0
14,0,72,0,1,1,1,16,0
7,7300,20,1,2,2,1,19,10
5,0,21,0,2,2,1,19,0
130,0,32,0,2,1,2,17,0
4,0,86,0,1,1,1,19,0
25,0,74,0,4,2,1,16,0
34,0,81,0,1,2,1,16,0
76,0,80,0,2,2,1,22,0
21,1800,64,1,4,1,1,17,0
160,2500,33,4,1,2,1,16,0
61,5000,21,6,3,1,1,20,11
84,0,57,0,4,1,2,19,0
75,3600,24,2,4,2,1,20,0
3,24000,31,1,3,1,1,21,0
41,0,38,0,3,1,2,17,0
46,2000,20,1,4,1,1,16,1
9,0,59,0,4,1,1,16,0
7,0,71,0,4,1,1,21,0
26,7200,19,5,2,2,1,19,0
11,0,37,0,1,2,1,16,0
37,7000,18,1,1,2,1,16,10
31,61000,64,6,2,1,2,20,11
5,18000,70,1,4,2,1,20,11
71,0,77,0,1,2,1,22,0
77,6000,20,1,3,1,1,19,10
84,0,19,0,1,1,1,18,0
12,200,74,1,2,2,1,18,0
113,0,95,0,1,2,1,11,0
18,0,36,0,2,2,1,15,0
94,5000,18,2,3,1,1,16,0
57,0,54,0,4,1,2,14,0
38,0,95,0,2,2,1,21,0
16,0,84,0,4,1,1,16,0
73,5200,18,1,3,1,1,16,0
11,3800,57,1,1,1,1,20,1
46,0,27,0,2,1,2,17,0
86,0,21,1,4,1,1,16,0
23,0,33,2,1,2,1,1,0
31,0,38,0,2,1,2,20,0
53,0,49,0,3,1,2,16,0
30,0,55,0,2,1,1,16,0
36,0,40,0,2,1,1,17,0
67,0,58,0,4,1,1,19,0
55,5000,20,4,2,1,1,19,10
52,0,48,1,1,1,1,17,0
114,0,23,0,1,1,1,19,0
20,0,20,0,3,2,1,14,0
